,0
temperature,0.018903285
vibration,0.03260493
pressure,0.0063616997
rpm,0.004662273
temp_vib_ratio,0.007242879
temperature_roll_mean_4,0.015285427
temperature_roll_std_4,0.005648741
vibration_roll_mean_4,0.098046616
vibration_roll_std_4,0.0057855155
pressure_roll_mean_4,0.013555101
pressure_roll_std_4,0.0053463513
rpm_roll_mean_4,0.01302132
rpm_roll_std_4,0.0046629775
temperature_roll_mean_16,0.014996083
temperature_roll_std_16,0.01777176
vibration_roll_mean_16,0.017754678
vibration_roll_std_16,0.10298465
pressure_roll_mean_16,0.013940403
pressure_roll_std_16,0.011428481
rpm_roll_mean_16,0.0123530645
rpm_roll_std_16,0.009690695
temperature_roll_mean_32,0.015170937
temperature_roll_std_32,0.013324969
vibration_roll_mean_32,0.03260105
vibration_roll_std_32,0.016376743
pressure_roll_mean_32,0.016508378
pressure_roll_std_32,0.012819026
rpm_roll_mean_32,0.015028668
rpm_roll_std_32,0.021706276
temperature_lag1,0.00795638
temperature_lag4,0.005442814
temperature_lag16,0.021153472
vibration_lag1,0.014295354
vibration_lag4,0.0067679887
vibration_lag16,0.02208597
pressure_lag1,0.006300859
pressure_lag4,0.0036256982
pressure_lag16,0.00396509
rpm_lag1,0.0042054807
rpm_lag4,0.0040956624
rpm_lag16,0.0041066883
temp_delta,0.004180461
pres_delta,0.0036544444
vib_delta,0.0031406553
vib_fft_peak,0.017593484
temp_pressure_ratio,0.03509812
vib_rpm_ratio,0.23471308
hour_sin,0.010297628
hour_cos,0.011737722
